ID MUESTRA,CALIDAD,MÁQUINA,COLANTE
1709882674361,NKC21068X05,F4,99.5
1709882674362,NK23951X01,F4,71.0
1709882674363,NK23951X01,F4,70.0
1709882674364,NKC21068X05,F5,113.5
1709882674365,NKC21068X05,F5,119.0
1709882674366,NK23903X02,F5,60.5
1709882674367,NK23903X02,F5,59.0
1709882674368,NKC21068X05,F6,93.0
1709882674369,NKC21068X05,F6,95.5
1709882674370,NK23903X02,F6,40.5
1709882674371,NK23903X02,F6,75.5
1709882674373,NKC21068X05,F7,62.0
1709882674374,NK23951X01,F7,68.0
1709882674376,NK23951X01,F8,75.0
1709882674377,NK23951X01,F7,66.0
1709882674379,NKC21068X05,F3,112.0
1709882674380,NK23951X01,F3,59.5
1709882674381,NK23951X01,F3,60.0
1709882674383,NK23951X01,F3,78.0
1709882674384,NK23903X02,F3,90.0
1709882674385,NK23903X02,F3,80.0
1709882674386,NK23951X01,F4,67.0
1709882674388,ND23652X01,F4,47.0
1709882674390,NK24159X01,F5,63.0
1709882674392,NK24156X01,F5,75.0
1709882674393,NK24156X01,F5,61.4
1709882674394,NK23951X01,F7,65.0
1709882674395,NK23951X01,F7,69.0
1709882674396,NK23951X01,F7,65.0
1709882674397,NK23951X01,F7,54.0
1709882674398,NK23951X01,F6,103.5
1709882674399,NK23951X01,F6,89.5
1709882674400,NK23951X01,F6,85.0
1709882674401,NK23951X01,F6,80.0
1709882674402,NK23951X01,F7,74.0
1709882674403,NK23951X01,F7,71.5
1709882674404,NK23951X01,F7,57.0
1709882674406,NKC21068X05,F8,75.5
1709882674410,NK23951X01,F8,86.0
1709882674411,NK23951X01,F8,95.0
1709882674412,NKC21068X05,M14,99.0
1709882674413,NKC21068X05,M14,88.5
1709882674414,NK23953X01,M14,107.0
1709882674415,NK23953X01,M14,111.0
1709882674417,NK23953X01,M14,95.0
1709882674418,NK23903X02,M14,120.0
1709882674419,NK23903X02,M14,110.0
1709882674421,NKC21068X05,M15,92.5
1709882674423,NK23953X01,M15,101.0
1709882674424,NK23953X01,M15,108.0
1709882674425,NK23953X01,M15,108.5
1709882674426,NK23903X02,M15,92.5
1709882674427,NK23903X02,M15,64.0
1709882674428,NKC21068X05,M16,70.5
1709882674429,NKC21068X05,M16,85.0
1709882674430,NK23953X01,M16,96.0
1709882674431,NK23953X01,M16,104.5
1709882674432,NK23953X01,M16,109.0
1709882674433,NK23953X01,M16,100.0
1709882674434,NK23765X02,M16,113.0
1709882674435,NK23765X02,M16,109.5
1709882674437,NKC22123X01,G1,84.0
1709882674438,NKC21068X05,G2,131.5
1709882674439,NKC21068X05,G2,95.0
1709882674440,NK23951X01,F3,98.0
1709882674442,NK23903X02,F3,108.0
1709882674443,NK23903X02,F3,107.0
1709882674444,NKC21068X05,F4,87.0
1709882674446,NK23951X01,F4,62.5
1709882674447,NK23951X01,F4,61.5
1709882674448,ND23652X01,F4,42.0
1709882674450,NK23951X01,F4,73.0
1709882674451,NK23951X01,F4,79.0
1709882674452,NKC21068X05,F7,129.0
1709882674453,NKC21068X05,F7,112.0
1709882674454,NK23951X01,F7,62.0
1709882674455,NK23951X01,F7,63.0
1709882674456,ND23652X01,F7,59.0
1709882674457,ND23652X01,F7,103.0
1709882674459,NK23951X01,F7,68.0
